also_known_as,birthday,deathday,gender,homepage,id,imdb_id,known_for_department,name,place_of_birth,popularity
"Kouji Maruoka,丸岡功治,Kōji Maruoka",,,2,,3089404,,Visual Effects,Koji Maruoka,,1.096
"金到暎,金到瑛,Kim Do-young",,,0,,3096133,nm13965923,Visual Effects,Kim Do-yeong,,0.853
"山崎正和,山﨑正和,山崎まさかず",,,2,,3105761,nm1999407,Visual Effects,Masakazu Yamazaki,,1.166
宮口久美,,,1,,3106171,nm10106096,Visual Effects,Kumi Miyaguchi,,0.6
"張益,帳益",,,0,,3107950,nm6209710,Visual Effects,Zhang Yi,China,0.615
"李銀榮,李恩榮,Lee Eun Yeong,Lee Eun-yeong",,,0,,3108738,nm3840998,Visual Effects,Lee Eun-young,,0.6
穂積彩夏,,,1,,3111632,nm9941804,Visual Effects,Ayaka Hozumi,,0.6
ウサホリ,,,0,,3115092,,Visual Effects,Usahori,,0.828
南雲紋,,,1,,3119365,nm2829881,Visual Effects,Aya Nagumo,,1.286
"入江 充,入江充",,,0,,3120657,,Visual Effects,Mitsuru Irie,,0.787
"相島豪太,Gouta Aijima",,,2,,3127079,nm3836177,Production,Gota Aijima,,0.972
中和田優斗,,,0,,3153546,nm11930039,Visual Effects,Yuto Nakawada,,0.6
別所正直,,,0,,3156817,nm2144383,Visual Effects,Masanao Bessho,,0.6
谷口明弘,,,2,,3156836,nm2230923,Visual Effects,Akihiro Taniguchi,,0.838
春場ねぎ,1991-07-27,,2,,3160511,nm10607650,Writing,Negi Haruba,Japan,0.6
田頭沙織,,,0,,3163647,nm9052232,Visual Effects,Saori Tagashira,,1.38
山本知広,,,2,,3166475,,Visual Effects,Tomohiro Yamamoto,,0.6
"山本篤史,山本篤志",,,2,,3166477,nm2315683,Visual Effects,Atsushi Yamamoto,Japan,0.6
"Nobutaka Oota,太田宣貴",,,0,,3173228,nm9887515,Visual Effects,Nobutaka Ota,,0.62
吉澤太智,,,2,,3187596,,Directing,Taichi Yoshizawa,,0.6
"垣内彩子,垣内綾子",,,1,,3187748,,Visual Effects,Ayako Kakiuchi,,0.946
"高橋伸郎,髙橋伸郎",,,2,,3201042,nm12758639,Visual Effects,Nobuo Takahashi,,1.276
福見幹太,,,2,,3201072,,Visual Effects,Kanta Fukumi,,0.652
長谷田晴香,,,1,,3201095,nm8693855,Visual Effects,Haruka Haseda,,0.6
玉置典彦,,,2,,3201625,,Visual Effects,Norihiko Tamaki,,0.606
"藤木泰史,Yasufumi Fujiki",,,2,,3205685,nm4714494,Visual Effects,Yasushi Fujiki,,0.679
林奈美,,,1,,3211058,nm10982583,Visual Effects,Nami Hayashi,,0.6
"Yuuya Hiderita,日照田裕也",,,2,,3222698,nm12739062,Visual Effects,Yuya Hiderita,,0.6
"高橋陽斗,髙橋陽斗",,,2,,3223691,,Visual Effects,Haruto Takahashi,,2.136
黒川あゆみ,,,1,,3239052,,Visual Effects,Ayumi Kurokawa,Japan,0.748
"ユキシズク,Yuki Shizuku",,,1,,3253955,,Visual Effects,Yukishizuku,,0.6
大和雅恵,,,0,,3260835,,Production,Masae Yamato,,0.6
菊池和希,,,0,,3268183,nm7213825,Visual Effects,Kazuki Kikuchi,,0.84
"Ryouma Hasegawa,長谷川凌真",,,0,,3288415,,Visual Effects,Ryoma Hasegawa,,0.6
水田大介,,,2,,3293032,nm8066223,Sound,Daisuke Mizuta,,0.6
柏木さやか,,,1,,3310626,nm12975299,Visual Effects,Sayaka Kashiwagi,,0.6
中山奈々,,,1,,3310651,nm9408176,Visual Effects,Nana Nakayama,,1.175
百代,,,0,https://www.pixiv.net/en/users/53256,3370939,,Visual Effects,Momoyo,,0.6
室井誠,,,2,,3370942,,Visual Effects,Makoto Muroi,,0.6
"Koki Hasegawa,長谷川巧希",,,2,,3393871,nm9186617,Art,Kouki Hasegawa,,1.177
田中春奈,,,1,,3393874,,Art,Haruna Tanaka,,1.4
"Ryouta Arima,有間涼太",,,2,,3409070,,Visual Effects,Ryota Arima,,0.6
藤谷奈美,,,1,,3419680,,Visual Effects,Nami Fujitani,,0.828
笹大地,,,0,,3427689,nm12648927,Production,Daichi Sasa,,0.6
"Youichirou Katayama,片山陽一郎",,,2,,3447564,nm12961020,Visual Effects,Yoichiro Katayama,,0.6
勝又聖人,,,2,,3453611,,Visual Effects,Masato Katsumata,,0.6
吉田健人,,,2,,3460038,nm12438944,Production,Kento Yoshida,,0.6
"Kouji Shimizu,清水幸司",,,2,,3498005,nm9443609,Sound,Koji Shimizu,,0.6
"Biito,ビート",,,0,,3498071,,Visual Effects,Beat,,0.6
田中誠人,,,0,,3499656,,Visual Effects,Makoto Tanaka,,0.6
矢須田綾,,,1,,3500394,,Art,Aya Yasuda,,1.764
" 尾上明日菜",,,1,,3502417,,Visual Effects,Asuna Onoue,,0.6
清澤唯人,,,2,,3516941,nm12680331,Visual Effects,Tadahito Kiyosawa,,0.728
"吉澤直也,𠮷澤直也,吉澤直哉,𠮷澤直哉",,,2,,3519925,,Art,Naoya Yoshizawa,,1.052
"Narumi Ohkuma,Narumi Ookuma,大熊成実",,,1,,3521430,nm12975298,Visual Effects,Narumi Okuma,,0.84
吉山隆士,,,2,,3522487,nm3464066,Visual Effects,Takashi Yoshiyama,,0.6
福永なぎさ,,,1,,3530693,,Visual Effects,Nagisa Fukunaga,,1.484
松岡未沙,,,1,,3533845,nm4721272,Visual Effects,Misa Matsuoka,,0.84
"千葉大輔,tyao",,,2,,3537268,nm11510850,Camera,Daisuke Chiba,,0.6
"Akihito Ogiyama,扇山秋仁",,,2,,3537278,nm9774605,Art,Akihito Ougiyama,,0.6
Choi Eun-yeong,,,0,,3558711,nm13377285,Visual Effects,Choi Eun-young,,0.6
こじぺろ！,,,0,,3558716,nm13057868,Visual Effects,kojipero,,0.6
斎藤聖悟,,,2,,3561459,,Visual Effects,Seigo Saito,,0.6
" 二宮歩路",,,0,,3561461,,Visual Effects,Hoji Ninomiya,,0.6
"甲斐勇冴,Kai Yūga,Yuuga Kai",,,0,,3608128,nm13101166,Camera,Yuga Kai,,0.828
平岩栞,,,1,,3610800,,Visual Effects,Shiori Hiraiwa,,0.6
"平鹿幸恵,Yukie Hiraga,Yukie Hiraka,Sachie Hiraka",,,1,,3619109,,Visual Effects,Sachie Hiraga,,0.6
"落合良亮,Ryōsuke Ochiai,Ryousuke Ochiai",,,0,,3619120,,Visual Effects,Ryosuke Ochiai,,0.6
舘岡千明,,,0,,3689755,,Visual Effects,Chiaki Tateoka,,0.6
壹岐悠ノ介,,,0,,3701613,nm8724508,Visual Effects,Yunosuke Iki,,0.6
熊田崚人,,,2,,3702053,,Visual Effects,Shunto Kumada,,0.6
"楊暁玥,楊暁王月",,,0,,3724067,,Art,Yang Xiaoyue,,0.6
小菅洋,,,0,,3726101,nm1987956,Visual Effects,Hiroshi Kosuga,,0.84
"Yuuji Gotoh,後藤祐司",,,2,,3736760,nm2584241,Visual Effects,Yuji Goto,,0.6
佐藤結花,,,0,,3744762,,Visual Effects,Yuika Sato,,1.048
,,,0,,3809244,,Visual Effects,Lee Jae-min,,1.009
上田智輝,,,0,,3811951,nm9785236,Production,Tomoki Ueda,,0.98
比嘉麻衣子,,,1,,3816976,,Production,Maiko Higa,,0.6
"Shuuji Imai,今井修治",,,2,,3816986,nm4186767,Sound,Shuji Imai,,0.6
売布清,,,0,,3816993,,Art,Kiyo Mefu,,0.6
春水融,,,0,,3816994,,Art,Chun Shuirong,,0.6
陳力浩,,,0,,3817002,,Visual Effects,Chen Lihao,,0.6
"Joutarou Naito,内藤丈太朗",,,2,,3817010,,Visual Effects,Jotaro Naito,,0.6
堀口朝陽,,,0,,3817034,,Visual Effects,Asahi Horiguchi,,0.6
岩崎楽,,,0,,3817038,,Visual Effects,Raku Iwasaki,,0.6
野田綾乃,,,1,,3817094,,Art,Ayano Noda,,0.6
岡田雅基,,,0,,3817099,,Crew,Masaki Okada,,0.6
竹花佑佳里,,,1,,3817101,,Visual Effects,Yukari Takehana,,0.6
玄美玲,,,0,,3817115,,Visual Effects,Xuan Meiling,,0.6
"Nami Utsugi,宇津木那美",,,1,,3817126,,Visual Effects,Nami Utsuki,,0.6
多久和みはる,,,0,,3817140,,Visual Effects,Miharu Takuwa,,0.6
松川裕也,,,0,,3817156,,Crew,Yuya Matsukawa,,0.6
松浦希,,,0,,3817159,nm12201115,Crew,Nozomi Matsuura,,0.6
根井悠輔,,,0,,3817161,,Crew,Yusuke Nei,,0.6
藤井俊宏,,,2,,3817162,,Crew,Toshihiro Fujii,,0.6
"大澤宏志,Hiroshi Oosawa",,,0,,3817164,nm10792758,Crew,Hiroshi Osawa,,0.6
"Yuuichi Inoue,井上裕一",,,2,,3817166,,Crew,Yuichi Inoue,,0.6
"Mark Hamil,Mark Richard Hamill,Марк Хэмилл,Μαρκ Χάμιλ,マーク・ハミル,마크 해밀,Patrick Williams,William M. Patrick,马克哈米尔,馬克哈米爾",1951-09-25,,2,,2,nm0000434,Acting,Mark Hamill,"Oakland, California, USA",30.211
"Гаррісон Форд,Харрисон Форд,هاريسون فورد,해리슨 포드,ハリソン・フォード,แฮร์ริสัน ฟอร์ด,哈里森·福特,Харисън Форд,Χάρισον Φορντ,ഹാരിസൺ ഫോർഡ് ,Harrison J. Ford",1942-07-13,,2,,3,nm0000148,Acting,Harrison Ford,"Chicago, Illinois, USA",38.803
"Carrie Frances Fisher ,Кэрри Фишер,Кэрри Фрэнсис Фишер,캐리 피셔",1956-10-21,2016-12-27,1,https://carriefisher.com/,4,nm0000402,Acting,Carrie Fisher,"Beverly Hills, Los Angeles, California, USA",11.167
,1937-04-06,,2,http://www.bdwworldart.com/,3799,nm0001850,Acting,Billy Dee Williams,"New York City, New York, USA",15.444
"Anthony Kingsley Daniels,Энтони Дэниелс ,安東尼·丹尼爾斯,安东尼·丹尼尔斯",1946-02-21,,2,http://www.anthonydaniels.com/,6,nm0000355,Acting,Anthony Daniels,"Salisbury, Wiltshire, England, UK",7.132
,1935-07-01,2020-11-29,2,,24342,nm0001190,Acting,David Prowse,"Bristol, England, UK",9.239
,1944-05-19,2019-04-30,2,http://www.petermayhew.com/,24343,nm0562679,Acting,Peter Mayhew,"Barnes, London, England, UK",3.182
"Ken Baker,Kenneth George Baker,Кенни Бейкер",1934-08-24,2016-08-13,2,,130,nm0048652,Acting,Kenny Baker,"Birmingham, England, UK",6.959
Фрэнк Оз,1944-05-25,,2,,7908,nm0000568,Acting,Frank Oz,"Hereford, Herefordshire, England, United Kingdom ",6.939
"Alec Guinness de Cuffe,Sir Alec Guinness,Алек Гиннесс,Сэр Алек Гиннесс,亚历克·吉尼斯",1914-04-02,2000-08-05,2,,12248,nm0000027,Acting,Alec Guinness,"Marylebone, London, England, UK",20.149
Jeremy Bullock,1945-02-16,2020-12-17,2,http://www.jeremybulloch.com/,33185,nm0120116,Acting,Jeremy Bulloch,Market Harborough - Leicestershire - England - UK,3.868
,1920-10-09,2015-12-25,2,,151529,nm0935067,Acting,Jason Wingreen,"Brooklyn, New York, USA",4.227
Bertie Wyn Hollis,1931-01-24,2005-10-18,2,,27165,nm0391197,Acting,John Hollis,Nottinghamshire - England - UK,3.484
Jackie Purves,1937-07-13,1997-11-21,2,,132538,nm0701023,Acting,Jack Purvis,"London, England, UK",5.876
,,2002-05-21,0,,132539,nm0916088,Acting,Des Webb,,2.188
Kathy Mullen,1940-02-10,,1,,70772,nm0612020,Acting,Kathryn Mullen,"New York City, New York, USA",2.364
"Marjorie Lee Eaton,Marjorie Morley Eaton",1901-02-05,1986-04-21,1,,117714,nm0247856,Acting,Marjorie Eaton,"San Francisco, California, USA",4.214
Clive Revel,1930-04-18,,2,,20128,nm0720890,Acting,Clive Revill,"Wellington, New Zealand",5.62
"Kenneth Cooley,Ken Colley",1937-12-07,,2,,10734,nm0171829,Acting,Kenneth Colley,"Manchester, England, UK",4.779
Julian Wyatt Glover,1935-03-27,,2,,740,nm0002103,Acting,Julian Glover,"London, England ",8.414
,1938-06-18,2005-08-31,2,,70417,nm0790410,Acting,Michael Sheard,"Aberdeenshire, Scotland, UK",4.004
,1938-06-16,,2,,47520,nm0191741,Acting,Michael Culver,"Hampstead, London, England, UK",3.247
,1947-07-23,,0,,1429986,nm0225598,Acting,John Dicks,"London, England, UK",0.6
John Robert Milton,1938-05-13,,2,,24625,nm0424350,Acting,Milton Johns,Bristol - Gloucestershire - England - UK,1.754
,1939-04-22,2010-01-14,2,,1229839,nm0428752,Acting,Mark Jones,UK,2.743
,,2012-01-10,2,,1221792,nm0536619,Acting,Oliver Maguire,"Dalkey, County Dublin, Ireland",3.789
,,,2,,1429987,nm0778573,Acting,Robin Scobey,"York, Yorkshire, England",1.4
Andrew Bruce Boa,1930-07-10,2004-04-17,2,,8664,nm0090124,Acting,Bruce Boa,"Calgary, Alberta, Canada",4.267
Chris Malcolm,1946-08-19,2014-02-15,2,,47808,nm0539095,Acting,Christopher Malcolm,"Aberdeen, Aberdeenshire, Scotland, UK",4.218
,1947-09-27,,2,,47698,nm0493200,Acting,Denis Lawson,"Perthshire, Scotland, UK",5.604
,,,0,,1181937,nm0646134,Acting,Richard Oldfield,,1.371
John Fass Morton,1947-03-26,,2,,1430007,nm0608014,Acting,John Morton,"Annapolis, Maryland, USA",1.4
,1948-08-04,2016-10-01,2,,79957,nm0514282,Acting,Ian Liston,Crosby - Merseyside - England - UK,2.157
Ratz (nickname),1947-04-06,,2,http://ratzenberger.com/,7907,nm0001652,Acting,John Ratzenberger,"Bridgeport, Connecticut, USA",10.997
,1942-03-09,,2,,1211845,nm0571536,Acting,Jack McKenzie,"Edinburgh, Scotland, UK",1.314
,,,2,,1270880,nm0366617,Acting,Jerry Harte," Seattle, Washington, USA",2.75
,,,2,,116123,nm0151259,Acting,Norman Chancer,,4.103
Norwick Duff,,,2,,1430038,nm0240403,Acting,Norwich Duff,,0.6
,1948-01-03,,2,,1250671,nm0368474,Acting,Ray Hassett,,2.081
Brigitte Khan,,,1,,1430048,nm0434800,Acting,Brigitte Kahn,Germany,4.487
Burnel Tucker,1934-01-01,,2,,184980,nm0875813,Acting,Burnell Tucker,"Newfoundland, Canada",2.984
"Robert James Gilbert Anderson,Robert Anderson",1922-09-15,2012-01-01,2,,202711,nm0026428,Acting,Bob Anderson,"Gosport, Hampshire, England, UK",1.85
,,,2,,1271059,nm0510019,Crew,Lightning Bear,,0.756
,1948-03-30,2015-02-04,0,,1473717,nm0094246,Acting,Richard Bonehill,"Hampstead, London, England, UK",0.962
,,,2,,1230632,nm1546214,Acting,John Cannon,,1.62
,1951-07-19,,2,,1520024,nm0135633,Acting,Mark Capri,"Washington, District of Columbia, USA",1.913
,,,0,,1355100,nm2218784,Acting,Martin Dew,,1.148
,1929-08-10,2004-03-27,2,,53587,nm0224701,Acting,Peter Diamond,"Durham, England, UK",2.355
,,,2,,1212168,nm0271403,Acting,Stuart Fell,,1.437
,1930-02-08,,2,,1572549,nm0732569,Crew,Doug Robinson,"Newcastle Upon Tyne, England, UK",1.4
,,,2,,2175140,,Crew,Tony Smart,,0.6
,1938-05-28,2020-01-31,2,,964699,nm0364402,Crew,Alan Harris,"Enfield, Middlesex, London, England, UK",1.18
"James Earl Boggins Jones,Todd Jones,Jimmy",1931-01-17,,2,,15152,nm0000469,Acting,James Earl Jones,"Arkabutla, Mississippi, USA",19.178
,1948-06-18,,2,,33403,nm0567881,Acting,Mac McDonald,"Long Island, New York",2.408
,,,0,,1572550,,Acting,Ralph McQuarrie,,0.6
,,,0,,1230662,nm0607659,Acting,Ralph Morse,,1.22
"David Terence Richards,Terrence Richards,Terence Richards",1932-11-02,2014-06-14,2,,1229106,nm0724358,Acting,Terry Richards,"London, England, UK",2.027
,1937-06-05,2009-01-01,2,,185986,nm0193132,Acting,Shaun Curry,"Lambeth, London, England, UK",2.769
,,,0,,1729657,,Acting,Alan Austen,,0.6
" Jim Do All,James Dowdall,Jim Dowdell",1948-10-21,,2,,1415957,nm0235695,Crew,Jim Dowdall,"Hammersmith, London, England, UK",1.666
,,,0,,107700,nm2261501,Writing,Tom Egeland,,0.84
Alan Flying,,,2,,1424954,nm0283404,Costume & Make-Up,Alan Flyng,,0.731
Trevor Anthony Butterfield,,,2,,1729660,,Crew,Trevor Butterfield,,0.6
,,,1,,2088545,nm1044935,Acting,Mercedes Burleigh,,1.528
,,,0,,1430217,nm0123899,Acting,Jane Busby,,0.728
Morris Bush,,,2,,1220323,nm0124173,Acting,Maurice Bush,,1.386
,,,2,,151961,,Acting,Tony Clarkin,,0.908
Mike Edmunds,1944-01-13,,2,,219382,nm0249507,Acting,Mike Edmonds,"Billericay, Essex, England, UK",1.685
Israel W. Nagelkop,1921-10-24,2005-02-21,2,,1406400,nm1527782,Acting,Walter Henry,"Hammersmith, London, England, UK",0.78
,1948-11-18,,2,,1230439,nm0422056,Acting,Paul Jerricho,"England, UK",2.423
"Joe Johnson,Joseph Johnston,Joseph Eggleston Johnston II",1950-05-13,,2,http://www.joejohnstonsketchbook.com/,4945,nm0002653,Directing,Joe Johnston,"Fort Worth, Texas, USA",12.146
,,,2,,2250902,,Acting,Steven Meek,,2.188
,,,2,,3307,nm1169403,Acting,Peter Roy,,1.123
,,,1,,4091766,,Acting,Stephanie English,,0.6
,1938-09-12,2016-08-22,2,,1729623,nm0494915,Acting,Michael Leader,"Hackney, London, England, UK",2.188
"George Walton Lucas Jr. ,乔治·卢卡斯,Джордж Лукас,ジョージ・ルーカス,จอร์จ ลูคัส,조지 루카스,جورج لوكاس",1944-05-14,,2,,1,nm0000184,Directing,George Lucas,"Modesto, California, USA",15.115
,1954-08-22,,2,,19801,nm0564768,Production,Rick McCallum,"Heidelberg, Germany",1.326
,,,0,,8337,nm0509490,Production,Terry Liebling,,0.84
,1941-07-25,,2,http://petersuschitzky.com,307,nm0005893,Camera,Peter Suschitzky,"London, England",0.766
,,,1,,390,nm0482961,Production,Irene Lamb,,2.269
,1942-07-26,,2,,665,nm0443599,Production,Howard G. Kazanjian,"Los Angeles County, California, USA",2.444
Norman William Reynolds,1934-03-26,2023-04-06,2,,669,nm0721888,Art,Norman Reynolds,"Willesden, London, England, UK",1.255
,1948-07-12,,2,,670,nm0123785,Sound,Ben Burtt,"New York, USA",6.148
,1938-05-23,,2,,711,nm0915226,Production,Robert Watts,"London, England, UK",3.609
"Mohinder Purba,Roy Deep",1957-01-01,,2,,1295,nm0746989,Acting,Deep Roy,"Nairobi, Kenya",12.319
,1950-04-22,,2,,2950,nm0005696,Camera,Robert Elswit,"California, USA",1.172
,1915-12-07,1978-03-18,1,,4298,nm0102824,Writing,Leigh Brackett,"Los Angeles, California, USA",3.502
Les Dilley,1941-01-11,,2,,5059,nm0226896,Art,Leslie Dilley,"Rhondda, Glamorgan, Wales, UK",2.04
,1931-03-18,2017-10-25,2,,5061,nm0597087,Costume & Make-Up,John Mollo,"London, England, UK",0.652
,1949-01-14,,2,,8844,nm0001410,Writing,Lawrence Kasdan,"Miami, Florida, USA",7.176
,1951-09-27,,2,,7727,nm0864138,Visual Effects,Phil Tippett,"Berkeley, California",6.502
,,,1,,7778,nm0139823,Production,Patricia Carr,,2.873
,1928-06-11,2018-05-31,2,,8526,nm0285785,Art,Michael Ford,"Godstone, Surrey, England, UK",0.6
,,,0,,8651,nm0463289,Production,Philip Kohler,,0.6
,,,0,,9402,nm0424644,Crew,Brian Johnson,,1.153
"Stuart W. Freeborn,Stewart Freeborn,Stuart Freebourne",1914-09-05,2013-02-06,2,,11837,nm0293084,Costume & Make-Up,Stuart Freeborn,"Leytonstone, London, England, UK",1.319
"Alan R. Tomkins ",,2020-09-20,2,,10880,nm0866766,Art,Alan Tomkins,"Fulham, London, England",0.84
"Richard A. Baker,Richard Baker",1950-12-08,,2,,16178,nm0000711,Costume & Make-Up,Rick Baker,"Binghamton, New York, USA",3.502
,1945-11-14,,2,,10766,nm0386532,Editing,Paul Hirsch,"New York City, New York, USA",1.162
Peter McDonald,1939-01-01,,2,,16589,nm0003423,Directing,Peter MacDonald,"London, England, UK",3.782
Ирвин Кершнер,1923-04-29,2010-11-27,2,,10930,nm0449984,Directing,Irvin Kershner,"Philadelphia, Pennsylvania, USA",6.627
理查德·埃德伦,1940-12-06,,2,,21548,nm0249430,Visual Effects,Richard Edlund,"Fargo, North Dakota, USA",2.521
Harley Cokliss,1945-02-11,,2,,23858,nm0170113,Directing,Harley Cokeliss,"San Diego, California, USA",2.392
"Tiny Nichols,G.W. Nicholls,Ti Nicholls",,,0,,29061,nm0629471,Costume & Make-Up,Tiny Nicholls,,1.22
,1929-12-22,,2,,66251,nm0788935,Production,Bruce Sharman,"Amersham, Buckinghamshire, England, UK",1.284
,1951-09-11,,2,,75796,nm0125423,Production,Roy Button,"Hackney, London, England, UK",1.389
,,,2,,91517,nm0423849,Acting,Svend Johansen,,1.451
,1949-07-17,,2,,136024,nm0539438,Costume & Make-Up,Nick Maley,"London, England, UK",1.313
Elizabeth Coke,,,1,,174672,nm0170066,Acting,Liz Coke,,1.788
Jonathan Barry,,1979-06-01,2,,568911,nm0058045,Art,John Barry,"London, England, UK",1.388
,,,2,,948389,nm0089179,Production,Jim Bloom,,0.84
,,,1,,958468,nm0728528,Costume & Make-Up,Barbara Ritchie,"Islington, London, England, UK",1.439
Pamela Mann Francis,,,1,,1117367,nm0542911,Directing,Pamela Mann,,0.991
,,,0,,1125548,nm0486127,Art,Harry Lange,,1.4
,1930-10-18,2005-07-20,2,,1213681,nm0866563,Directing,David Tomblin,"Borehamwood, Hertfordshire, England, UK",1.327
Herbert Spencer,1905-04-07,1992-09-18,0,,1336275,nm0817965,Sound,Herbert W. Spencer,"Santiago, Chile",0.984
,,,0,,1424133,nm0404144,Visual Effects,Paul Huston,,0.6
,,,0,,1427545,nm0925629,Camera,George Whitear,,0.728
,,,0,,1548711,,Production,Bob Edmiston,,1.288
,,,0,,1563188,nm0213169,Acting,Jack Dearlove,,2.661
,,,0,,1572559,,Crew,Terry Pritchard,,0.761
,1948-09-09,,2,,1575391,,Directing,Steve Lanning,"Stoke Newington, London, England, UK",1.095
,1934-08-10,2015-10-13,2,,1588463,nm0788050,Lighting,Laurie Shane,"London, England, UK",0.6
David Watkins,1949-09-15,,2,,1629006,,Visual Effects,David H. Watkins,"Slough, Buckinghamshire, England, UK",0.84
,,,0,,1649183,,Directing,Kay Rawlings,"Kensington, London, England, UK",1.975
,,,0,,1784246,,Costume & Make-Up,Eileen Sullivan,,1.38
,1943-11-07,1986-07-14,0,,1973867,,Costume & Make-Up,Graham Freeborn,,0.732
,,,0,,1984397,,Costume & Make-Up,Kay Freeborn,,0.6
,,,0,,1998464,,Sound,Richard Burrow,,1.658
,,,2,,2021319,nm0116767,Art,Frank Bruton,,0.94
,,,0,,2165645,nm0129407,Acting,Stephen Calcutt,,0.6
Reginald Bream,,,2,,2217113,nm0106439,Art,Reg Bream,"Lambeth, London, England, UK",0.654
,,,0,,2922346,,Sound,London Symphony Orchestra,,0.98
,,,0,,3997531,,Sound,Peter Sutton,,0.6
,1972-12-30,,2,http://www.seltonmello.blogger.com.br/,87341,nm0578080,Acting,Selton Mello,"Passos, Minas Gerais, Brazil",3.133
,1937-03-07,2003-07-23,2,,123757,nm0136692,Acting,Rogério Cardoso,"Mococa, São Paulo, Brazil",1.06
,1965-10-15,,1,,123758,nm0289545,Acting,Denise Fraga,"Rio de Janeiro, Rio de Janeiro, Brazil",1.812
,1957-10-28,,2,,102551,nm0897478,Acting,Diogo Vilela,"Rio de Janeiro, Rio de Janeiro, Brazil",2.595
Luis Melo,1947-11-13,,2,,90219,nm0578064,Acting,Luís Melo,"Curitiba, Paraná, Brazil",2.687
Virgínia Cavendish,1970-11-25,,1,http://virginiacavendish.com.br/,123759,nm0147085,Acting,Virginia Cavendish,"Recife, Pernambuco, Brazil",2.918
,1970-11-29,,2,,123760,nm0305132,Acting,Bruno Garcia,"Recife, Brazil",2.44
"Enrique Diaz ",1967-09-19,,2,,1126875,nm0246570,Acting,Enrique Díaz,"Lima, Perú",4.024
Mauricio Gonçalves,1966-08-20,,2,,87340,nm0328601,Acting,Maurício Gonçalves,"Rio de Janeiro, Rio de Janeiro, Brazil",0.872
,1965-03-05,,2,,123761,nm0872922,Acting,Aramis Trindade,"Brejo da Madre de Deus, Pernambuco, Brazil",1.857
,1948-05-31,,2,,123762,nm0620847,Acting,Marco Nanini,"Recife, Pernambuco, Brazil",3.292
,1933-01-09,2014-03-13,2,,130046,nm4389953,Acting,Paulo Goulart,"Ribeirão Preto, São Paulo, Brazil",1.96
,1930-03-29,,2,,123763,nm0239114,Acting,Lima Duarte,"Sacramento, Minas Gerais, Brazil",3.571
,1929-10-16,,1,,10055,nm0005244,Acting,Fernanda Montenegro,"Rio de Janeiro, Rio de Janeiro, Brazil",2.641
,1958-09-20,,2,,102559,nm0266049,Writing,João Falcão,"Recife, Pernambuco, Brazil",1.713
,1953-12-12,,2,,102560,nm0037136,Directing,Guel Arraes,"Recife, Pernambuco, Brazil",3.025
,1960-02-12,,1,,123765,nm0266045,Writing,Adriana Falcão,"Rio de Janeiro, Rio de Janeiro, Brazil",2.139
Felix Monti,,,2,,414697,nm0599983,Camera,Félix Monti,,1.052
,,,2,,1255577,nm0996841,Crew,Paulo Henrique Farias,,0.6
,1927-06-16,2014-07-23,2,,1421958,nm0836874,Acting,Ariano Suassuna,"Parahyba do Norte, Brazil",0.6
,,,1,,1668848,nm0719529,Art,Lia Renha,,0.6
,1959-04-21,,2,,1705069,nm0017068,Costume & Make-Up,Cao Albuquerque,"Salvador, Bahia, Brazil",1.456
Ubiraci Mota,,,0,,2144361,nm1120132,Editing,Ubiraci de Motta,,0.6
,,,2,,2173256,nm1069101,Production,Eduardo Figueira,,0.6
沢田泉,,,1,http://kenyu-office.com/sawadaizumi/,1315197,nm5345817,Acting,Izumi Sawada,"Saitama Prefecture, Japan",1.07
,,,0,,1248372,nm2138168,Acting,Hayato Taya,,2.553
"Утияма Коки,内山昂輝,Koki Uchiyama,Kōki Uchiyama,内山昂辉,Uchiyama Koki,Uchiyama Kōki,Kouki Uchiyama,Uchiyama Kouki,うちやま こうき,우치야마 코우키",1990-08-16,,2,https://profile.himawari.net/view/1559,1254052,nm2146022,Acting,Koki Uchiyama,"Saitama Prefecture, Japan",15.796
"辻󠄀親八,辻亲八,辻親八,Shinichi Kotani,小谷慎一,辻󠄁親八,つじ しんぱち",1956-10-20,,2,http://www.office-pac.jp/talent/profile/?id=tsuji-s,65438,nm0875320,Acting,Shinpachi Tsuji,"Tateyama, Chiba Prefecture, Japan",4.757
"山本兼平,야마모토 카네히라,やまもと かねひら",1977-05-09,,2,http://earlywing.co.jp/talent/talentpage/kanehira-yamamoto,1315198,nm3081715,Acting,Kanehira Yamamoto,"Tokyo, Japan",9.492
"町田政則,Tsuyoshi Machida,町田剛",1955-01-07,,2,,1083327,nm1001351,Acting,Masanori Machida,"Kanagawa Prefecture, Japan",2.177
"内田 愛美,うちだ まみ,うっちー",,,1,http://forestlink.co.jp/talents/uchida-mami,1325959,,Acting,Mami Uchida,"Kanagawa, Japan",2.846
"後藤ヒロキ,ごとう ひろき,Hiroki Gotou,Hiroki Gotō,后藤弘树",1985-11-16,,2,http://www.gotohiro8bit.com,1315195,nm2612279,Acting,Hiroki Goto,"Saitama, Japan",3.858
,,,0,,3198636,,Acting,Kumiko Tashiro,,0.98
今井麻美,1977-05-16,,1,http://5pb.jp/records/sp/asami/,1133618,nm1411540,Acting,Asami Imai,"Tokyo, Japan",4.666
"柳沼和良,Kazuyoshi Yanaginuma",,,2,,240776,nm0944913,Directing,Kazuyoshi Yaginuma,,0.854
