title,year,imdbid,id,rating
Deathstalker IV: Match of Titans,1991,0099388,9517,1
Delta Force 3: The Killing Game,1991,0101702,9533,0
Kickboxer 2: The Road Back,1991,0102202,9548,0
Double Impact,1991,0101764,9564,1
"Manta, Manta",1991,0102397,9810,3
Child&#39;s Play 3,1991,0103956,9847,2
Showdown in Little Tokyo,1991,0102915,10117,3
"Commitments, The",1991,0101605,10265,3
Eyes of an Angel,1991,0101844,10474,0
Drop Dead Fred,1991,0101775,10658,3
New Jack City,1991,0102526,10733,0
Reservoir Dogs,1992,0105236,18,0
Aladdin,1992,0103639,98,0
Alien 3,1992,0103644,296,0
Home Alone 2: Lost in New York,1992,0104431,433,3
Glengarry Glen Ross,1992,0104348,450,0
A Few Good Men,1992,0104257,451,1
A League of Their Own,1992,0104694,560,3
Buffy the Vampire Slayer,1992,0103893,748,3
Bob Roberts,1992,0103850,818,1
Batman Returns,1992,0103776,1025,0
Gas Food Lodging,1992,0104321,1345,3
Sister Act,1992,0105417,1352,3
Army of Darkness,1992,0106308,1276,2
"Muppet Christmas Carol, The",1992,0104940,1101,3
"Mighty Ducks, The",1992,0104868,1126,1
FernGully: The Last Rainforest,1992,0104254,1157,3
Toys,1992,0105629,1836,3
Full Contact,1992,0105851,1867,1
Death Becomes Her,1992,0104070,1869,3
Orlando,1992,0107756,1877,2
El Mariachi,1992,0104815,1886,0
My Cousin Vinny,1992,0104952,1895,1
Enchanted April,1992,0101811,2128,3
Passion Fish,1992,0105107,2349,3
Howards End,1992,0104454,2415,3
Twin Peaks: Fire Walk With Me,1992,0105665,2432,3
Sarafina!,1992,0105316,2457,3
Leaving Normal,1992,0104697,2466,3
Single White Female,1992,0105414,2504,3
This is My Life,1992,0105577,2506,3
Newsies,1992,0104990,2628,1
Straight Talk,1992,0105481,2709,3
"Crying Game, The",1992,0104036,3141,2
Porco Rosso (Kurenai no Buta),1992,0104652,3414,1
King of Beggars,1992,0100963,3556,2
"Player, The",1992,0105151,3636,3
Scent of a Woman,1992,0105323,3787,1
Baraka,1992,0103767,3937,0
Dead Alive,1992,0103873,4141,3
Malcolm X,1992,0104797,4391,3
Wayne&#39;s World,1992,0105793,4731,1
Stop! Or My Mom Will Shoot,1992,0105477,4779,2
Chaplin,1992,0103939,4782,1
"Cutting Edge, The",1992,0104040,4839,3
Ladybugs,1992,0104670,4837,3
Como agua para chocolate,1992,0103994,4838,3
Husbands and Wives,1992,0104466,4903,3
Basic Instinct,1992,0103772,4940,1
Dracula,1992,0103874,4947,3
Damage,1992,0104237,4952,3
Hero,1992,0104412,4999,1
Candyman,1992,0103919,5005,3
"Lawnmower Man, The",1992,0104692,5241,1
Boomerang,1992,0103859,5318,3
Un Coeur en Hiver,1992,0105682,5425,3
"Bikini Carwash Company, The",1992,0103812,5533,3
Doragon b&ocirc;ru Z: Atsumare! Gok&ucirc; W&acirc;rudo,1992,1517470,5593,0
Sneakers,1992,0105435,5654,1
Dragon Ball Z: The Return of Cooler,1992,0142237,6090,0
A River Runs Through It,1992,0105265,6123,2
Singles,1992,0105415,6317,2
Hellraiser III: Hell on Earth,1992,0104409,6397,3
Peter&#39;s Friends,1992,0105130,6702,3
Dragon Inn,1992,0105859,6862,3
Unforgiven,1992,0105695,7006,3
Freddie as F.R.O.7.,1992,0104298,7601,1
"Last of the Mohicans, The",1992,0104691,7031,2
Split Second,1992,0105459,7179,0
Tom and Jerry: The Movie,1992,0105616,7191,3
Hard Boiled,1992,0104684,7245,0
HouseSitter,1992,0104452,7640,1
Bitter Moon,1992,0104779,8287,3
Critters 4,1992,0101628,8393,1
Leap of Faith,1992,0104695,8583,2
Encino Man,1992,0104187,8622,1
"Bodyguard, The",1992,0103855,8991,2
Just another girl on the I.R.T,1992,0104575,9000,1
"Hand That Rocks the Cradle, The",1992,0104389,9922,3
Dien Bien Phu,1992,0104105,9107,0
"Lover / L&#39;amant, The",1992,0101316,9221,1
Stay Tuned,1992,0105466,9242,2
Strictly Ballroom,1992,0105488,9331,1
Passenger 57,1992,0105104,9785,1
Schtonk,1992,0105328,9812,3
Jurassic Park,1993,0107290,109,3
Groundhog Day,1993,0107048,114,2
Demolition Man,1993,0106697,117,0
Mrs. Doubtfire,1993,0107614,436,3
Point of No Return/The Assassin,1993,0107843,543,3
Sleepless in Seattle,1993,0108160,556,2
Umi ga kikoeru,1993,0108432,558,3
Hocus Pocus,1993,0107120,587,3
Swing Kids,1993,0108265,727,1
Manhattan Murder Mystery,1993,0107507,810,3
Ruby in Paradise,1993,0108000,852,3
Dazed and Confused,1993,0106677,861,3
"Sandlot, The",1993,0108037,899,0
Bad Boy Bubby,1993,0106341,950,1
Three Colors: Blue,1993,0108394,984,3
Robin Hood: Men in Tights,1993,0107977,1067,3
Cool Runnings,1993,0106611,1602,1
Boxing Helena,1993,0106471,1517,1
"Wedding Banquet, The",1993,0107156,1195,3
Homeward Bound: The Incredible Journey,1993,0107131,1088,1
Dave,1993,0106673,1133,3
"Secret Garden, The",1993,0108071,1434,3
Addams Family Values,1993,0106220,1436,3
Sister Act 2: Back in the Habit,1993,0108147,1353,3
Undercover Blues,1993,0108442,1097,1
Schindler&#39;s List,1993,0108052,1497,3
Fei hu wai zhuan,1993,0104246,1637,2
Death Train,1993,0106689,1666,3
Even Cowgirls Get The Blues,1993,0106834,1790,3
Fatal Instinct,1993,0106873,1856,3
"Princess and the Cobbler, The",1993,0112389,1940,0
"Trial, The",1993,0108388,2182,1
"Piano, The",1993,0107822,2230,3
Once Upon a Forest,1993,0107745,2492,3
"Nightmare Before Christmas, The",1993,0107688,2543,1
Sonatine,1993,0108188,2847,0
Little Buddha,1993,0107426,2892,1
"Fugitive, The",1993,0106977,2916,2
"Joy Luck Club, The",1993,0107282,3088,3
"Age of Innocence, The",1993,0106226,3097,3
Heart and Souls,1993,0107091,3123,2
Pieces of April,1993,0311648,3176,3
Tombstone,1993,0108358,3180,3
Gekij&ocirc;-ban - Bish&ocirc;jo senshi S&ecirc;r&acirc; M&ucirc;n R (Sailor Moon R the Movie: The Promise of the Rose),1993,0106417,3330,3
Searching for Bobby Fischer,1993,0108065,3336,0
Cliffhanger,1993,0106582,3369,1
Untamed Heart,1993,0108451,3396,3
"Heroic Trio, The",1993,0105619,3405,3
Naked,1993,0107653,3550,3
"Evil Cult, The",1993,0108624,3692,3
"Beverly Hillbillies, The",1993,0106400,3704,3
Gypsy,1993,0107065,3715,3
"Remains of the Day, The",1993,0107943,3761,1
Cannibal! The Musical,1993,0115819,3921,0
Indien,1993,0107214,4337,0
Super Mario Bros.,1993,0108255,4422,3
Telling Secrets,1993,0108310,4555,3
Coneheads,1993,0106598,4636,3
Batman: Mask of the Phantasm,1993,0106364,4877,0
Gettysburg,1993,0107007,4917,0
Indian Summer,1993,0107212,5065,3
Dragon: The Bruce Lee Story,1993,0106770,5083,3
RoboCop 3,1993,0107978,5238,3
Body of Evidence,1993,0106453,5243,3
Heidi,1993,0107099,5285,3
Short Cuts,1993,0108122,5316,3
Body Snatchers,1993,0106452,5521,3
Rising Sun,1993,0107969,5580,1
"Firm, The",1993,0106918,6474,3
"Blood In, Blood Out",1993,0106469,5665,0
Bhaji on the Beach,1993,0106408,5725,3
Philadelphia,1993,0107818,5919,2
Sliver,1993,0108162,6076,3
Hot Shots! Part Deux,1993,0107144,6173,3
Farewell My Concubine,1993,0106332,6215,0
True Romance,1993,0108399,6349,1
What&#39;s Eating Gilbert Grape,1993,0108550,6492,3
Matinee,1993,0107529,6844,1
Arctic Blue,1993,0106303,7055,1
Dragon Ball Z: The History of Trunks,1993,0142247,7209,1
Body Bags,1993,0106449,7272,1
"Pelican Brief, The",1993,0107798,7277,3
"Making of &#39;...And God Spoke&#39;, The",1993,0107492,7418,1
In the Name of the Father,1993,0107207,7514,2
What&#39;s Love Got to Do with It,1993,0108551,7526,3
A perfect world,1993,0107808,7611,1
Benny &amp; Joon,1993,0106387,7619,1
Indecent Proposal,1993,0107211,7642,0
In the Line of Fire,1993,0107206,7667,1
Kika,1993,0107315,7699,3
La casa de los esp&iacute;ritus,1993,0107151,7840,3
Poetic Justice,1993,0107840,8148,3
"Man Without a Face, The",1993,0107501,8552,1
Mi vida loca,1993,0107566,8568,3
Heaven &amp; Earth,1993,0107096,8652,2
Six Degrees of Separation,1993,0108149,8759,3
Much Ado About Nothing,1993,0107616,9033,1
Fear of a Black hat,1993,0106880,9155,1
"I Killed My Lesbian Wife, Hung Her on a Meathook, and Now I Have a Three Picture Deal at Disney",1993,0166222,9398,3
Last Action Hero,1993,0107362,9466,1
Hard Target,1993,0107076,9565,1
Space Zombie Bingo!!!,1993,0314713,9735,0
Leprechaun,1993,0107387,10136,1
Guilty as sin,1993,0107057,10205,2
So I Married an Axe Murderer,1993,0108174,10565,3
Grumpy Old Men,1993,0107050,10696,1
Pulp Fiction,1994,0110912,91,3
"Lion King, The",1994,0110357,100,1
Interview with the Vampire,1994,0110148,120,1
Heisei tanuki gassen pompoko,1994,0110008,261,1
"Shawshank Redemption, The",1994,0111161,339,0
Speed,1994,0111257,440,3
Ace Ventura: Pet Detective,1994,0109040,441,2
Clerks.,1994,0109445,488,1
"Stand, The",1994,0108941,537,3
Heavenly Creatures,1994,0110005,567,3
Drop Zone,1994,0109676,571,2
Timecop,1994,0111438,574,1
Forrest Gump,1994,0109830,776,1
Reality Bites,1994,0110950,860,3
Dumb &amp; Dumber,1994,0109686,890,2
Stargate,1994,0111282,959,1
Little Women,1994,0110367,960,3
"Santa Clause, The",1994,0111070,1051,1
"Return of Jafar, The",1994,0107952,1066,0
"Pagemaster, The",1994,0110763,1208,1
Angels in the Outfield,1994,0109127,1128,1
True Lies,1994,0111503,1098,3
"Client, The",1994,0109446,1535,3
Amateur,1994,0109093,1571,3
Pat and Margaret,1994,0124829,1734,3
"Professional, The",1994,0110413,1755,3
Bad Girls,1994,0109198,1786,3
Go Fish,1994,0109913,1788,3
Naked Gun 33 1/3: The Final Insult,1994,0110622,1826,2
Beverly Hills Cop III,1994,0109254,1850,0
Police Academy: Mission to Moscow,1994,0110857,1914,1
Ed Wood,1994,0109707,1920,3
Eat Drink Man Woman,1994,0111797,2121,3
Muriel&#39;s Wedding,1994,0110598,2209,3
Mina Tannenbaum,1994,0110521,2210,3
Crooklyn,1994,0109504,2350,3
"Shadow, The",1994,0111143,2535,0
Priest,1994,0110889,2852,3
Legend of the Red Dragon / Hong Xi Guan: Zhi Shao Lin wu zu,1994,0110054,4326,3
Fear City: A Family-Style Comedy,1994,0109440,2972,3
Blue Sky,1994,0109306,3004,3
J&#39;ai pas sommeil,1994,0110171,3008,3
Trading Mom,1994,0111470,3044,3
"Hudsucker Proxy, The",1994,0110074,3062,1
"Last Seduction, The",1994,0110308,3104,1
Wing Chun,1994,0111800,3106,2
Giorgino,1994,0109900,3133,3
"Fantastic Four, The",1994,0109770,3162,1
I Like It Like That,1994,0110091,3179,3
No Escape,1994,0110678,3243,0
Gekij&ocirc;-ban - Bish&ocirc;jo senshi S&ecirc;r&acirc; M&ucirc;n S (Sailor Moon S the Movie: Hearts in Ice),1994,0109277,3331,3
Oleanna,1994,0110722,3431,0
"Adventures of Priscilla, Queen of the Desert, The",1994,0109045,3501,3
Street Fighter,1994,0111301,3522,3
Getting Any?,1994,0110524,3657,0
"Specialist, The",1994,0111255,3788,1
"Crow, The",1994,0109506,3820,3
"Corrina, Corrina",1994,0109484,3840,3
"Swan Princess, The",1994,0111333,3973,1
Chungking Express,1994,0109424,4056,1
"Road to Wellville, The",1994,0111001,4112,3
It&#39;s Pat,1994,0110169,4421,3
Three Colors: White,1994,0111507,4515,1
Sister My Sister,1994,0111205,4602,3
Star Trek Generations,1994,0111280,4618,3
Birds 2: Land&#39;s End,1994,0109275,4645,3
"Mask, The",1994,0110475,4697,1
Felidae,1994,0109791,4717,1
Legends of the Fall,1994,0110322,4841,3
Uncovered,1994,0111549,4869,3
Brainscan,1994,0109327,4920,1
Quiz Show,1994,0110932,4954,2
Color of Night,1994,0109456,5078,3
Frit&auml;nkaren,1994,0109849,5189,3
In the Mouth of Madness,1994,0113409,5206,1
A.P.E.X.,1994,0109144,5334,1
Airheads,1994,0109068,5341,1
Natural Born Killers,1994,0110632,5459,3
"Flintstones, The",1994,0109813,5738,3
Wrony,1994,0111751,5890,3
"Little Rascals, The",1994,0110366,5909,2
New Nightmare,1994,0111686,6029,3
See How They Fall,1994,0110958,6154,1
Four Weddings and a Funeral,1994,0109831,6451,3
Serial Mom,1994,0111127,6477,3
Black Beauty,1994,0109279,6981,3
Dias contados,1994,0109699,7032,3
D2: The Mighty Ducks,1994,0109520,7160,1
Death and the Maiden,1994,0109579,7211,0
I.Q.,1994,0110099,7263,0
Don&#39;t Drink the Water,1994,0109644,7295,1
It Could Happen to You,1994,0110167,7643,1
"Legend of Drunken Master, The",1994,0111512,7933,3
Lakota Woman: Siege at Wounded Knee,1994,0110297,7935,3
Kan du vissla Johanna?,1994,0110236,7972,0
Runaway Daughters,1994,0111033,8004,3
"Secret of Roan Inish, The",1994,0111112,8446,3
Sirens,1994,0111201,8460,3
Jenny&#39;s Wedding,1994,3289712,8494,3
Die gottliche Ordnung,1994,5818818,8592,3
Vive L&#39;Amour,1994,0109066,8735,0
Miracle on 34th Street,1994,0110527,8990,3
Clear and Present Danger,1994,0109444,9108,0
"Next Karate Kid, The",1994,0110657,9406,3
Revenge of the Musketeers,1994,0109798,9525,3
Men of War,1994,0110490,9768,1
Pentathlon,1994,0110805,9772,0
Twilight Zone: Rod Serling&#39;s Lost Classics,1994,0111520,9780,2
Voll normaaal,1994,0111640,9811,1
Picture Bride,1994,0114129,9814,3
Renaissance Man,1994,0110971,10077,2
When a Man Loves a Woman,1994,0111693,10178,3
Satantango,1994,0111341,10672,2
"Ref, The",1994,0110955,10700,3
"Usual Suspects, The",1995,0114814,54,1
Se7en,1995,0114369,69,1
Toy Story,1995,0114709,87,1
Hackers,1995,0113243,97,2
Casper,1995,0112642,106,3
Outbreak,1995,0114069,110,3
Die Hard: With a Vengeance,1995,0112864,147,1
Empire Records,1995,0112950,163,3
Billy Madison,1995,0112508,184,1
Braveheart,1995,0112573,205,2
Pocahontas,1995,0114148,207,3
Sense and Sensibility,1995,0114388,267,3
Mimi wo sumaseba (Whisper of the Heart),1995,0113824,287,3
"Bridges of Madison County, The",1995,0112579,294,3
Mallrats,1995,0113749,489,2
Showgirls,1995,0114436,566,3
Tank Girl,1995,0114614,569,3
Cold Comfort Farm,1995,0112701,637,3
How to Make an American Quilt,1995,0113347,640,3
K&ocirc;kaku kid&ocirc;tai (Ghost in the Shell),1995,0113568,659,0
Strange Days,1995,0114558,675,3
Clueless,1995,0112697,749,3
Now and Then,1995,0114011,897,3
Circle of Friends,1995,0112679,905,3
When Night is Falling,1995,0114916,947,3
Mortal Kombat,1995,0113855,955,1
Welcome to the Dollhouse,1995,0114906,974,3
Antonia&#39;s Line,1995,0112379,982,3
Four rooms,1995,0113101,986,3
Batman Forever,1995,0112462,1024,1
Balto,1995,0112453,1031,2
While You Were Sleeping,1995,0114924,1032,3
Heat,1995,0113277,1037,2
Aladdin and the King of Thieves,1995,0115491,1065,1
Pride and Prejudice,1995,0112130,1563,3
French Kiss,1995,0113117,1132,2
A Goofy Movie,1995,0113198,1160,2
Gold Diggers: The Secret of Bear Mountain,1995,0113188,1433,3
A little princess,1995,0113670,1435,3
Sabrina,1995,0114319,1643,3
Apollo 13,1995,0112384,2060,3
Boys on the Side,1995,0112571,2071,3
Copycat,1995,0112722,2100,3
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,0114682,2163,3
Casino,1995,0112641,2220,2
Dangerous Minds,1995,0112792,2882,3
Waterworld,1995,0114898,2303,2
Safe,1995,0114323,2366,3
Dolores Claiborne,1995,0109642,2394,3
Butterfly Kiss,1995,0112604,2422,3
Canadian Bacon,1995,0109370,2573,1
"Addiction, The",1995,0112288,2684,3
"Celluloid Closet, The",1995,0112651,2690,3
Rumble in the Bronx (Hung fan kui),1995,0113326,2835,1
Twelve Monkeys,1995,0114746,2864,1
"Net, The",1995,0113957,2914,3
"Incredibly True Adventures of Two Girls in Love, The",1995,0113416,2931,3
Serving in Silence,1995,0114395,3027,3
"Baby-Sitters Club, The",1995,0112435,3090,3
Persuasion,1995,0114117,3142,3
"Pebble and the Penguin, The",1995,0114108,3267,2
Fallen Angels,1995,0112913,3298,1
"Sailor Moon SuperS the Movie, The Ten Senshi Unite, Mystery of the Black Dream Hole (Sailor Moon Super S the Movie: Black Dream",1995,0112513,3332,3
Mighty Morphin Power Rangers: The Movie,1995,0113820,3370,3
"American President, The",1995,0112346,3684,3
Jumanji,1995,0113497,3801,3
La Haine,1995,0113247,3877,0
Before Sunrise,1995,0112471,4020,0
Species,1995,0114508,4169,3
"Quick and the Dead, The",1995,0114214,4247,3
Assassins,1995,0112401,4640,1
Maborosi,1995,0113725,4678,3
Underground,1995,0114787,4749,1
"Langoliers, The",1995,0112040,4791,3
Congo,1995,0112715,4902,0
Home for the holidays,1995,0113321,4904,3
Dracula: Dead and Loving It,1995,0112896,5084,3
Ringu Kanzenban,1995,0235133,5199,1
Devil in a Blue Dress,1995,0112857,5317,1
"City of Lost Children, The",1995,0112682,5596,3
Dragon Ball Z: Wrath of the Dragon,1995,0142243,5655,2
Ace Ventura: When Nature Calls,1995,0112281,5710,0
Dilwale Dulhania Le Jayenge,1995,0112870,5728,3
Kids,1995,0113540,5771,3
Dead Presidents,1995,0112819,5812,3
First Knight,1995,0113071,5816,2
Higher Learning,1995,0113305,5823,3
GoldenEye,1995,0113189,6251,3
Othello,1995,0114057,6544,2
Desperado,1995,0112851,6625,1
Party Girl,1995,0114095,6912,3
Nadie hablara de nosotras cuando hayamos muerto,1995,0113918,7073,3
Babe,1995,0112431,7364,3
El dia de la bestia,1995,0112922,7388,3
Village of the Damned,1995,0114852,7547,3
Grim,1995,0113221,7566,3
Catnapped! The Movie,1995,0114689,7568,3
Nick of Time,1995,0113972,7651,3
Land and Freedom,1995,0114671,7663,1
La flor de mi secreto,1995,0113083,7702,3
Friday,1995,0113118,7791,2
Tommy Boy,1995,0114694,7805,3
Judge Dredd,1995,0113492,7892,3
Magic in the Water,1995,0113737,8442,1
Dead Man Walking,1995,0112818,8451,3
"Basketball Diaries, The",1995,0112461,8526,1
Total Eclipse,1995,0114702,8539,1
Tall Tale,1995,0111359,8919,1
Leaving Las Vegas,1995,0113627,8923,2
Heavyweights,1995,0110006,8930,0
"Englishman Who Went Up a Hill But Came Down a Mountain, The",1995,0112966,9064,0
Waiting To Exhale,1995,0114885,9104,2
It Takes Two,1995,0113442,9230,1
Rob Roy,1995,0114287,9588,0
Indira,1995,0121401,9958,2
Major Payne,1995,0110443,10039,0
La c&eacute;r&eacute;monie,1995,0112769,9991,3
Les apprentis,1995,0112386,10069,1
True Crime,1995,0114736,10099,3
"Cure, The",1995,0112757,10179,1
Mr. Holland&#39;s Opus,1995,0113862,10198,3
Bad Boys,1995,0112442,10281,1
Grumpier Old Men,1995,0113228,10697,3
Cutthroat Island,1995,0112760,10715,1
"Rock, The",1996,0117500,38,1
Jane Eyre,1996,0116684,111,3
Spy Hard,1996,0117723,129,1
Trainspotting,1996,0117951,137,2
Bound,1996,0115736,182,3
Matilda,1996,0117008,369,3
Broken Arrow,1996,0115759,431,0
Space Jam,1996,0117705,435,1
Independence Day,1996,0116629,444,3
Mission: Impossible,1996,0117060,445,1
From Dusk Till Dawn,1996,0116367,448,1
"Cable Guy, The",1996,0115798,449,1
"Quest, The",1996,0117420,525,0
Down Periscope,1996,0116130,535,0
Scream,1996,0117571,649,3
Libertarias,1996,0113649,741,3
Harriet the Spy,1996,0116493,760,3
Fire,1996,0116308,881,3
"First Wives Club, The",1996,0116313,912,3
I Shot Andy Warhol,1996,0116594,970,3
Girls Town,1996,0116418,977,3
Foxfire,1996,0116353,981,3
Freeway,1996,0116361,1010,3
DragonHeart,1996,0116136,1030,2
"Hunchback of Notre Dame, The",1996,0116583,1062,1
"Long Kiss Goodnight, The",1996,0116908,1340,3
Love and Other Catastrophes,1996,0116931,1343,3
Secrets &amp; Lies,1996,0117589,1411,3
Hamlet,1996,0116477,1233,1
Ridicule,1996,0117477,1099,1
Muppet Treasure Island,1996,0117110,1129,1
"Craft, The",1996,0115963,1156,3
Escape from L.A.,1996,0116225,1428,1
Fly Away Home,1996,0116329,1569,3
101 Dalmatians,1996,0115433,1172,3
Connie Gomper &amp; the Pack,1996,0377683,1538,0
Homeward Bound II: Lost in San Francisco,1996,0116552,1087,1
Twister,1996,0117998,1082,3
Jingle All the Way,1996,0116705,1722,1
Female Perversions,1996,0116293,1791,3
Striptease,1996,0117765,1818,3
Fargo,1996,0116282,1852,2
"Associate, The",1996,0115580,1859,3
Charlot og Charlotte,1996,0115133,1874,3
Beyond Silence (Jenseits der Stille),1996,0116692,2106,3
Set It Off,1996,0117603,2154,3
Grace of my heart,1996,0116442,2208,3
Emma,1996,0116191,2221,3
"English Patient, The",1996,0116209,2449,3
"Spitfire Grill, The",1996,0117718,2885,3
"Mirror Has Two Faces, The",1996,0117057,2937,3
Pusher,1996,0117407,2994,0
Swallowtail Butterfly,1996,0117797,3017,3
That Thing You Do!,1996,0117887,3023,3
Brassed Off,1996,0115744,3038,3
Walking and Talking,1996,0118113,3059,3
Beautiful Girls,1996,0115639,3081,3
When the Cat&#39;s Away,1996,0115856,3242,3
Mother Night,1996,0117093,3291,1
August,1996,0115591,3383,3
Star Trek: First Contact,1996,0117731,3402,3
"Glimmer Man, The",1996,0116421,3410,1
Hard Eight,1996,0119256,3526,0
"God of Cookery, The",1996,0116426,3553,1
"Frighteners, The",1996,0116365,3679,3
Kids Return,1996,0116767,3703,3
Kingpin,1996,0116778,3822,1
Big Night,1996,0115678,3966,3
James and the Giant Peach,1996,0116683,3970,3
Romeo + Juliet,1996,0117509,4067,3
Fear,1996,0116287,4353,3
Sabrina the Teenage Witch,1996,0117534,4425,3
Three Lives and Only One Death,1996,0117968,4482,2
Mars Attacks!,1996,0116996,4621,3
"Fan, The",1996,0116277,4778,1
Mr. Wrong,1996,0117102,4822,3
Irma Vep,1996,0116650,4831,3
Eye for an Eye,1996,0116260,4859,3
"Truth About Cats &amp; Dogs, The",1996,0117979,4890,3
Chain Reaction,1996,0115857,4967,1
Poison Ivy II,1996,0114151,4972,3
"Birdcage, The",1996,0115685,4977,2
Manny &amp; Lo,1996,0116985,5125,3
Hellraiser: Bloodline,1996,0116514,5266,1
Lone Star,1996,0116905,5295,2
"Preacher&#39;s Wife, The",1996,0117372,5326,3
Welcome to the Discworld,1996,0313773,5343,0
Swingers,1996,0117802,5413,2
Beavis and Butt-Head Do America,1996,0115641,5493,1
Crash,1996,0115964,5551,3
Beautiful Thing,1996,0115640,5698,3
"Daytrippers, The",1996,0116041,5778,3
Waiting for Guffman,1996,0118111,5786,3
"A Jin de gushi / Ah Kam, the Stunt woman",1996,0115485,5855,1
Stealing Beauty,1996,0117737,5883,3
Tenchi Muy&ocirc;! In Love,1996,0117876,5932,3
Basquiat,1996,0115632,6074,2
Va&#39; dove ti porta il cuore,1996,0118105,6169,3
Mystery Science Theater 3000: The Movie,1996,0117128,6441,1
Entertaining Angels: The Dorothy Day Story,1996,0116212,6536,3
Michael,1996,0117038,6623,3
Curdled,1996,0115994,6738,3
La belle verte,1996,0115650,6754,3
Eraser,1996,0116213,6839,3
Twelfth Night or What You Will,1996,0117991,6943,3
"Funeral, The",1996,0116378,7051,3
Sleepers,1996,0117665,7352,1
Un air de famille,1996,0118015,7598,3
Evita,1996,0116250,7630,3
Jack,1996,0116669,7644,2
Primal Fear,1996,0117381,7658,1
Tremors II: Aftershocks,1996,0114720,7678,0
"Crucible, The",1996,0115988,7932,3
Jerry Maguire,1996,0116695,8008,2
Marvin&#39;s Room,1996,0116999,8057,3
Sonic the Hedgehog: The Movie,1996,0237765,8124,0
Last Man Standing,1996,0116830,8208,1
2 Days in the Valley,1996,0115438,8638,3
Tin Cup,1996,0117918,9065,3
"Watermelon Woman, The",1996,0118125,9088,3
Mother,1996,0117091,9319,3
La lengua asesina,1996,0116770,9457,3
Daylight,1996,0116040,9725,1
Barb Wire,1996,0115624,9782,1
Rollergator,1996,0207061,9790,3
Michael Collins,1996,0117039,10042,1
"Phantom, The",1996,0117331,10098,3
Austin Powers: International Man of Mystery,1997,0118655,5,2
"Fifth Element, The",1997,0119116,22,1
"Game, The",1997,0119174,68,1
Murder at 1600,1997,0119731,70,1
Gattaca,1997,0119177,77,1
Men in Black,1997,0119654,83,1
"Devil&#39;s Advocate, The",1997,0118971,105,3
Starship Troopers,1997,0120201,107,3
Alien: Resurrection,1997,0118583,297,3
Conspiracy Theory,1997,0118883,318,2
Mononoke-hime,1997,0119698,326,3
Wilde,1997,0120514,343,3
Titanic,1997,0120338,345,3
Dante's Peak,1997,0118928,424,3
Liar Liar,1997,0119528,425,1
Flubber,1997,0119137,426,2
G.I. Jane,1997,0119173,524,3
Con Air,1997,0118880,573,2
La vita &egrave; bella,1997,0118799,614,0
Good Will Hunting,1997,0119217,623,0
"Postman, The",1997,0119925,634,1
Event Horizon,1997,0119081,662,3
Hercules,1997,0119282,729,3
Romy and Michelle&#39;s High School Reunion,1997,0120032,754,3
Cube,1997,0123755,792,3
Contact,1997,0118884,904,3
Career Girls,1997,0118818,931,1
As Good as It Gets,1997,0119822,936,3
Grosse Pointe Blank,1997,0119229,1000,3
Batman &amp; Robin,1997,0118688,1026,2
Jungle 2 Jungle,1997,0119432,1054,2
For Richer or Poorer,1997,0119142,1055,3
Air Force One,1997,0118571,1068,1
"Winter Guest, The",1997,0120521,1409,3
"Inheritance, The",1997,0119369,1483,3
Wild America,1997,0120512,1595,2
Funny Games,1997,0119167,1193,3
My Best Friend&#39;s Wedding,1997,0119738,1202,2
Anastasia,1997,0118617,1218,3
Air Bud,1997,0118570,1127,1
Good Burger,1997,0119215,1159,1
Cinderella,1997,0128996,1584,3
Spice World,1997,0120185,1406,3
Actrius,1997,0115462,1794,3
Taste of Cherry,1997,0120265,1810,0
Fierce Creatures,1997,0119115,1816,1
"Castle, The",1997,0118826,1830,3
Clockwatchers,1997,0118866,1900,3
Cats Don&#39;t Dance,1997,0118829,1947,3
Eve&#39;s Bayou,1997,0119080,2101,3
Jackie Brown,1997,0119396,2176,3
L.A. Confidential,1997,0119488,2236,1
Boogie Nights,1997,0118749,2347,3
Volcano,1997,0120461,2395,3
Chasing Amy,1997,0118842,2423,3
Paradise Road,1997,0119859,2494,3
"Well, The",1997,0120493,2666,3
Vegas Vacation,1997,0120434,3148,3
Selena,1997,0120094,3195,3
A Simple Wish,1997,0120133,3223,3
Chun gwong cha sit (Happy Together),1997,0118845,3232,0
Turbo: A Power Rangers Movie,1997,0120389,3371,3
Spawn,1997,0120177,3373,3
Kiss the Girls,1997,0119468,3882,2
Orgazmo,1997,0124819,3917,1
Snow White: A Tale of Terror,1997,0119227,3928,3
Mortal Kombat: Annihilation,1997,0119707,4064,3
Lost Highway,1997,0116922,4154,1
Smilla&#39;s Sense of Snow,1997,0120152,4164,3
My Life in Pink ( Ma Vie En Rose ),1997,0119590,4216,3
Fever Pitch,1997,0119114,4333,3
George of the Jungle,1997,0119190,4360,3
Ayneh,1997,0117056,4380,3
Ayneh,1997,0117056,4381,3
"Peacemaker, The",1997,0119874,4383,3
In the Company of Men,1997,0119361,4496,1
Mrs Dalloway,1997,0119723,4527,3
"Wrong Guy, The",1997,0120536,4635,1
Scream 2,1997,0120082,4643,3
I Know What You Did Last Summer,1997,0119345,4657,3
I Think I Do,1997,0125209,4932,3
La principessa e il povero,1997,0178844,4987,3
Le Acrobate,1997,0118550,5058,3
"Lost World: Jurassic Park, The",1997,0119567,5074,3
